ID,X,Y
1,-75.5785878,6.203001
2,-75.5620037,6.2269508
3,-75.563103,6.2286893
4,-75.6252166,6.2563292
5,-75.5603552,6.315541
6,-75.5553832,6.3086394
7,-75.5677206,6.2876742
8,-75.5580909,6.2086093
9,-75.5989067,6.211286
10,-75.6021285,6.2358497
11,-75.5835452,6.1807904
12,-75.5525056,6.238393
13,-75.5517409,6.2372785
14,-75.6176275,6.2504016
15,-75.6175013,6.2502778
16,-75.6146801,6.2516109
17,-75.6166254,6.2512184
18,-75.6173725,6.2519948
19,-75.6155342,6.2504294
20,-75.6164284,6.2482407
21,-75.6156304,6.2517319
22,-75.6161346,6.2521232
23,-75.6157953,6.2528584
24,-75.616469,6.2535929
25,-75.6128449,6.2525385
26,-75.6140261,6.2478248
27,-75.6144366,6.2496574
28,-75.6142266,6.2505166
29,-75.614415,6.2496414
30,-75.6133091,6.249902
31,-75.6139367,6.2493421
32,-75.6151169,6.2482916
33,-75.6143444,6.2482409
34,-75.6137731,6.2487315
35,-75.6134405,6.2484115
36,-75.6134217,6.2490488
37,-75.6130704,6.2480783
38,-75.6151598,6.2475423
39,-75.6137617,6.2502285
40,-75.6161937,6.2528944
41,-75.6171153,6.252688
42,-75.6302045,6.270802
43,-75.59761,6.1620268
44,-75.5066969,6.0558193
45,-75.602289,6.2723357
46,-75.5461821,6.2375454
47,-75.6031089,6.2811252
48,-75.6019726,6.280569
49,-75.6033516,6.2795667
50,-75.6037876,6.280076
51,-75.5166636,6.342032
52,-75.5167471,6.3396903
53,-75.5184886,6.3443639
54,-75.5200072,6.3409073
55,-75.5809275,6.2434949
56,-75.5864131,6.2613561
57,-75.586802,6.2607882
58,-75.6276239,6.2674703
59,-75.6271981,6.2594184
60,-75.5637374,6.2452653
61,-75.615506,6.2406266
62,-75.6148143,6.2436014
63,-75.7121649,6.1119059
64,-75.7961762,6.0647948
65,-75.6054044,6.2190641
66,-75.6081608,6.2850343
67,-75.5744865,6.2234448
68,-75.5705575,6.2637539
69,-75.5683865,6.263255
70,-75.5695992,6.2634914
71,-75.6006671,6.2736918
72,-75.5928582,6.1931677
73,-75.5745186,6.2219172
74,-75.5744934,6.2227781
75,-75.5734923,6.1954084
76,-75.6004536,6.2697919
77,-75.5529188,6.2322854
78,-75.554186,6.2303168
79,-75.5527351,6.2323811
80,-75.569927,6.2066277
81,-75.5884681,6.2670156
82,-75.5801811,6.2789553
83,-75.5823329,6.2797157
84,-75.5814152,6.2793863
85,-75.6044279,6.2692937
86,-75.5416705,6.3435888
87,-75.5411079,6.3459132
88,-75.6432722,6.1794597
89,-75.5766542,6.2075156
90,-75.5755626,6.2069873
91,-75.5768803,6.2053867
92,-75.5631745,6.2284079
93,-75.5801341,6.19726
94,-75.5934267,6.2019138
95,-75.559955,6.2267878
96,-75.5606877,6.2279922
97,-75.5614953,6.226487
98,-75.5146712,6.3539478
99,-75.5153455,6.3526391
100,-75.5157548,6.3539291
101,-75.5152066,6.352056
102,-75.5141187,6.3540997
103,-75.5145344,6.3545129
104,-75.5152855,6.3519828
105,-75.5154393,6.3525808
106,-75.5145478,6.3545556
107,-75.5665479,6.2031292
108,-75.5640087,6.2301616
109,-75.5654989,6.201974
110,-75.5662139,6.2016383
111,-75.5660804,6.2026652
112,-75.5669103,6.2021268
113,-75.5675141,6.2022637
114,-75.5660361,6.2030181
115,-75.5672968,6.204666
116,-75.5665479,6.2031292
117,-75.5671206,6.2034807
118,-75.567777,6.2038756
119,-75.5681589,6.2040448
120,-75.5679351,6.2025061
121,-75.5677926,6.2028551
122,-75.5675167,6.2047353
123,-75.5679726,6.2049134
124,-75.5681111,6.2050294
125,-75.5686965,6.2054983
126,-75.5686233,6.2063268
127,-75.567668,6.2062212
128,-75.575301,6.2059792
129,-75.5854893,6.1825856
130,-75.433933,6.1305675
131,-75.4295205,6.1358841
132,-75.6293007,6.2561177
133,-75.6298312,6.2571008
134,-75.6282058,6.2564571
135,-75.5575198,6.2064822
136,-75.556701,6.3163812
137,-75.5880397,6.2920903
138,-75.5953759,6.2119825
139,-75.5827003,6.1814124
140,-75.4364801,6.1402672
141,-75.5633668,6.1731663
142,-75.3759377,6.1431821
143,-75.5871513,6.1634655
144,-75.6503393,6.1736502
145,-75.5814575,6.1798648
146,-75.5990226,6.2088848
147,-75.6895976,6.3434788
148,-75.7007324,6.387748
149,-75.4189664,6.1137445
150,-75.6231861,6.2571511
151,-75.5378678,6.2990523
152,-75.6082052,6.2488779
153,-75.6076124,6.2493632
154,-75.6087917,6.2484054
155,-75.5687573,6.2056243
156,-75.61356,6.2613576
157,-75.6068691,6.2474337
158,-75.6080593,6.2471702
159,-75.6093219,6.245964
160,-75.6090394,6.2474471
161,-75.6095395,6.2460671
162,-75.621145,6.2551546
163,-75.5981391,6.254433
164,-75.610387,6.2470934
165,-75.6094272,6.2478805
166,-75.6087789,6.2473488
167,-75.611826,6.2469843
168,-75.6119159,6.2468837
169,-75.6114407,6.2474457
170,-75.610941,6.2480074
171,-75.6097782,6.2477802
172,-75.6089991,6.248444
173,-75.5297672,6.2290279
174,-75.5738765,6.2033367
175,-75.6042532,6.2612298
176,-75.5926914,6.1642839
177,-75.5833523,6.2474766
178,-75.5843712,6.2469099
179,-75.6090612,6.2498107
180,-75.6084759,6.2502654
181,-75.6080466,6.2506952
182,-75.6071069,6.2623247
183,-75.6018858,6.260272
184,-75.6282306,6.1614988
185,-75.6305442,6.1624851
186,-75.6026946,6.1954386
187,-75.561142,6.1759248
188,-75.5619544,6.1734701
189,-75.5599409,6.1736329
190,-75.5563166,6.1920782
191,-75.5569138,6.1930446
192,-75.5563166,6.1920782
193,-75.5706489,6.2065792
194,-75.569922,6.2067662
195,-75.5679351,6.2025061
196,-75.567608,6.202802
197,-75.4087183,6.1015754
198,-75.6045394,6.2147354
199,-75.552327,6.2301756
200,-75.5520758,6.2291329
201,-75.5954485,6.1958293
202,-75.5940277,6.1951298
203,-75.5959963,6.1921005
204,-75.5957603,6.1904566
205,-75.5953768,6.1914952
